Restaurant_ID,Restaurant_name,Cuisines,Address,Locality_verbose,Locality,City,Country_ID,Average_cost_for_two,Price_range,Aggregate_rating,Rating_text,Votes,Delivering_now,Online_delivery,Table_booking,order_menu,Menu_url,Events_url,Longitude,Latitude,Currency
18355137,Kalka's Food Centre,"North Indian, Chinese","Shop 3, B Block, Khasra 24, Opposite Anupam Appartments, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,200,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/kalkas-food-centre-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2062486000,28.5183803,,
18489523,Le Village Pastry Shop,"Bakery, Fast Food","Ignou Road, Anupam Extention, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,300,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/le-village-pastry-shop-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2060690000,28.5172873,,
18489533,Bhawani Restaurant,"North Indian, Mughlai, Chinese","Khasra 59, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,350,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/bhawani-restaurant-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2058841000,28.51673,,
4283,FIO Country Kitchen and Bar,"European, Italian, North Indian","Gate 1, The Garden of Five Senses, Saidulajab, Saket, New Delhi","Garden of Five Senses, Saket, New Delhi","Garden of Five Senses, Saket",New Delhi,1,3300,4,4.2,Very Good,1561,0,0,1,,https://www.zomato.com/ncr/fio-country-kitchen-and-bar-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1970713884,28.51423729,,
18303716,Henry's Cafe,"Pizza, North Indian, Continental","69, Main IGNOU Road, Saket, New Delhi","Saket, New Delhi",Saket,New Delhi,1,700,2,3.4,Average,42,0,1,0,,https://www.zomato.com/ncr/henrys-cafe-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2055904195,28.51536946,,
18373071,Jugmug Thela,Beverages,"Shed 4, Khasra 258, Behind Kuldeep House, Lane 3, Westend Marg, Saidulajab, Saket, New Delhi","Saket, New Delhi",Saket,New Delhi,1,200,1,3.8,Good,25,0,0,0,,https://www.zomato.com/ncr/jugmug-thela-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1998050000,28.517316,,
18424903,Andrea's Eatery,"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American","Shop 48A-51, First Floor, District Centre, Saket, New Delhi","Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket",New Delhi,1,2000,4,4.3,Very Good,130,0,0,1,,https://www.zomato.com/ncr/andreas-eatery-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2187278792,28.52832061,,
2739,Dakshin - Sheraton New Delhi Hotel,South Indian,"Sheraton New Delhi Hotel, District Centre, Saket, New Delhi","Sheraton New Delhi Hotel, Saket, New Delhi","Sheraton New Delhi Hotel, Saket",New Delhi,1,4000,4,4,Very Good,315,0,0,1,,https://www.zomato.com/ncr/dakshin-sheraton-new-delhi-hotel-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2159186006,28.52678296,,
18255154,The Junkyard Cafe,"North Indian, Mediterranean, Asian","Plot D-1, Unit 16,17, 30, 31, Ground Floor, Salcon Ras Vilas Mall, District Centre, Saket, New Delhi","Saket, New Delhi",Saket,New Delhi,1,1500,3,3.8,Good,220,0,0,1,,https://www.zomato.com/ncr/the-junkyard-cafe-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2197179496,28.52823136,,
313311,All About Food,"Chinese, Asian, Mediterranean, Continental","B-70, Opposite Saket City Hospital, Saket, New Delhi","Saket, New Delhi",Saket,New Delhi,1,750,2,3.9,Good,305,0,1,0,,https://www.zomato.com/ncr/all-about-food-saket-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2134020000,28.524625,,
